rank,strategy,file,kappa,choose_tau_S,f_knot1,f_knot2,f_knot3,V_tilde0,V_tilde0_corner,V_tilde0_b0,V_tilde0_b_alt,cev_vs_nopension_pct
1,NO_PENSION (no DC),combined_owner_nodc.mat,0,0,NaN,NaN,NaN,-1436625.72028055,-1305969.1129555,-1436625.72028055,-1370713.98004321,0
2,FREE_DC (free tau),combined_owner_freetau.mat,0.145600493528341,1,NaN,NaN,NaN,-2748196.96338552,-2469925.9049495,-2748196.96338552,-2432504.52740324,-14.9696541510404
3,spl_000_000_000,spl_000_000_000_owner.mat,0.145600493528341,0,0,0,0,-3139474.15309542,-2818811.91984068,-3139474.15309542,-2774165.60813869,-17.7526940398623
4,spl_025_000_000,spl_025_000_000_owner.mat,0.145600493528341,0,0.25,0,0,-3200997.30610196,-2872305.88227412,-3200997.30610196,-2811411.15989712,-18.1507730009862
5,spl_050_000_000,spl_050_000_000_owner.mat,0.145600493528341,0,0.5,0,0,-3303271.98892289,-2961665.45187583,-3303271.98892289,-2878772.55410596,-18.7918109667147
6,spl_025_025_000,spl_025_025_000_owner.mat,0.145600493528341,0,0.25,0.25,0,-3403186.11319845,-3050936.98623123,-3403186.11319845,-2969312.3006982,-19.3945356378016
7,spl_025_025_025,spl_025_025_025_owner.mat,0.145600493528341,0,0.25,0.25,0.25,-3406191.87336983,-3053633.67735783,-3406191.87336983,-2971944.75907701,-19.4123238980496
8,spl_075_000_000,spl_075_000_000_owner.mat,0.145600493528341,0,0.75,0,0,-3456993.1636492,-3096096.14173715,-3456993.1636492,-2982453.0728104,-19.7100330424676
9,spl_050_025_025,spl_050_025_025_owner.mat,0.145600493528341,0,0.5,0.25,0.25,-3541803.30424677,-3172044.53340969,-3541803.30424677,-3062910.05594923,-20.195055542863
10,spl_050_025_000,spl_050_025_000_owner.mat,0.145600493528341,0,0.5,0.25,0,-3634022.11603976,-3253042.46888776,-3634022.11603976,-3132994.18477791,-20.7062389270305
11,spl_100_000_000,spl_100_000_000_owner.mat,0.145600493528341,0,1,0,0,-3668459.50873038,-3280962.72799135,-3668459.50873038,-3126590.39859332,-20.892988712629
12,spl_075_025_025,spl_075_025_025_owner.mat,0.145600493528341,0,0.75,0.25,0.25,-3738984.81547135,-3344145.17268918,-3738984.81547135,-3197055.89004218,-21.2686888516077
13,spl_075_025_000,spl_075_025_000_owner.mat,0.145600493528341,0,0.75,0.25,0,-3880662.88829542,-3468442.79252515,-3880662.88829542,-3304286.07580407,-21.9973369423181
14,spl_100_025_025,spl_100_025_025_owner.mat,0.145600493528341,0,1,0.25,0.25,-3993548.35101634,-3566323.06359679,-3993548.35101634,-3371210.83145216,-22.5545027376234
