rank,strategy,file,kappa,choose_tau_S,f_knot1,f_knot2,f_knot3,V_tilde0,V_tilde0_corner,V_tilde0_b0,V_tilde0_b_alt,cev_vs_nopension_pct
1,FREE_DC (free tau),combined_renter_freetau.mat,0.145600493528341,1,NaN,NaN,NaN,-68222636.3031283,-59846499.2529093,-68222636.3031283,-53605388.3289189,197.756469310505
2,spl_000_000_000,spl_000_000_000_renter.mat,0.145600493528341,0,0,0,0,-95279084.4409508,-83598837.658528,-95279084.4409508,-74914029.1084723,173.901201104662
3,spl_025_000_000,spl_025_000_000_renter.mat,0.145600493528341,0,0.25,0,0,-96913068.1048586,-84947232.8360538,-96913068.1048586,-75550419.5175036,172.739314631645
4,spl_050_000_000,spl_050_000_000_renter.mat,0.145600493528341,0,0.5,0,0,-99575965.8860281,-87180365.7066015,-99575965.8860281,-76855407.1291554,170.897313782627
5,spl_075_000_000,spl_075_000_000_renter.mat,0.145600493528341,0,0.75,0,0,-103262701.407398,-90297341.8037698,-103262701.407398,-78862985.1201007,168.4463231911
6,spl_100_000_000,spl_100_000_000_renter.mat,0.145600493528341,0,1,0,0,-108568814.197098,-94813979.1511088,-108568814.197098,-82003769.1452156,165.104473886654
7,spl_025_025_000,spl_025_025_000_renter.mat,0.145600493528341,0,0.25,0.25,0,-144921243.54685,-126480738.561624,-144921243.54685,-109620350.014442,146.63818599733
8,spl_025_025_025,spl_025_025_025_renter.mat,0.145600493528341,0,0.25,0.25,0.25,-148091122.698526,-129243515.596877,-148091122.698526,-112002020.161604,145.307639889584
9,spl_050_025_025,spl_050_025_025_renter.mat,0.145600493528341,0,0.5,0.25,0.25,-150555216.375468,-131260892.171155,-150555216.375468,-112889718.484361,144.297700262223
10,spl_050_025_000,spl_050_025_000_renter.mat,0.145600493528341,0,0.5,0.25,0,-150976117.483801,-131540221.122699,-150976117.483801,-112706137.700795,144.12725468413
11,spl_075_025_025,spl_075_025_025_renter.mat,0.145600493528341,0,0.75,0.25,0.25,-154512228.061268,-134571327.927109,-154512228.061268,-114859083.915981,142.718353152723
12,spl_075_025_000,spl_075_025_000_renter.mat,0.145600493528341,0,0.75,0.25,0,-156571765.873985,-136254989.912683,-156571765.873985,-115789320.54843,141.916208959039
13,spl_100_025_025,spl_100_025_025_renter.mat,0.145600493528341,0,1,0.25,0.25,-160398288.631447,-139554978.806076,-160398288.631447,-118253784.886248,140.460307397671
14,spl_100_025_000,spl_100_025_000_renter.mat,0.145600493528341,0,1,0.25,0,-163597477.301019,-142221448.542849,-163597477.301019,-119999482.89234,139.27602201843
15,spl_050_050_000,spl_050_050_000_renter.mat,0.145600493528341,0,0.5,0.5,0,-225292641.222549,-195782150.343878,-225292641.222549,-165471974.991189,120.880094227903
16,spl_050_050_025,spl_050_050_025_renter.mat,0.145600493528341,0,0.5,0.5,0.25,-232024130.702429,-201628483.141324,-232024130.702429,-170416875.308054,119.260319175999
17,spl_075_050_000,spl_075_050_000_renter.mat,0.145600493528341,0,0.75,0.5,0,-233708509.799769,-202829957.734727,-233708509.799769,-170080158.552129,118.864184833639
18,spl_075_050_025,spl_075_050_025_renter.mat,0.145600493528341,0,0.75,0.5,0.25,-237429142.5665,-206106267.390548,-237429142.5665,-173041943.736889,118.001671992545
19,spl_050_050_050,spl_050_050_050_renter.mat,0.145600493528341,0,0.5,0.5,0.5,-240981361.06179,-209406262.465007,-240981361.06179,-176989244.25574,117.193821775586
20,spl_100_050_000,spl_100_050_000_renter.mat,0.145600493528341,0,1,0.5,0,-243383133.897528,-211058306.129796,-243383133.897528,-176008070.596994,116.655995034453
21,spl_075_050_050,spl_075_050_050_renter.mat,0.145600493528341,0,0.75,0.5,0.5,-244350795.002128,-212193796.177157,-244350795.002128,-178493485.561725,116.441179240052
22,spl_100_050_025,spl_100_050_025_renter.mat,0.145600493528341,0,1,0.5,0.25,-244866982.603234,-212409305.670476,-244866982.603234,-177422988.178266,116.327022688546
23,spl_100_050_050,spl_100_050_050_renter.mat,0.145600493528341,0,1,0.5,0.5,-250724129.54836,-217587677.194387,-250724129.54836,-182173970.443882,115.052401881284
24,spl_075_075_000,spl_075_075_000_renter.mat,0.145600493528341,0,0.75,0.75,0,-317433036.882547,-275270989.696961,-317433036.882547,-230183311.094927,102.735732024473
25,spl_075_075_025,spl_075_075_025_renter.mat,0.145600493528341,0,0.75,0.75,0.25,-328082058.071784,-284506945.71655,-328082058.071784,-237948223.080379,101.070200214521
26,spl_100_075_000,spl_100_075_000_renter.mat,0.145600493528341,0,1,0.75,0,-339404116.249146,-294012581.926013,-339404116.249146,-244131029.10089,99.371948926532
27,spl_075_075_050,spl_075_075_050_renter.mat,0.145600493528341,0,0.75,0.75,0.5,-342024785.479317,-296597313.48524,-342024785.479317,-248103043.291411,98.9889387022143
28,spl_100_075_025,spl_100_075_025_renter.mat,0.145600493528341,0,1,0.75,0.25,-348506536.467817,-301916373.928161,-348506536.467817,-250816049.498045,98.0571833726417
29,spl_100_075_050,spl_100_075_050_renter.mat,0.145600493528341,0,1,0.75,0.5,-356962498.836161,-309303442.016428,-356962498.836161,-257285211.814023,96.8736904099778
30,spl_075_075_075,spl_075_075_075_renter.mat,0.145600493528341,0,0.75,0.75,0.75,-360072935.165951,-312244541.72651,-360072935.165951,-261232467.489434,96.4471401528838
31,spl_100_075_075,spl_100_075_075_renter.mat,0.145600493528341,0,1,0.75,0.75,-370719848.107972,-321320154.062512,-370719848.107972,-267779189.485641,95.021220881811
32,spl_100_100_000,spl_100_100_000_renter.mat,0.145600493528341,0,1,1,0,-450922600.677384,-390526029.38584,-450922600.677384,-324353358.763369,85.7025339210313
33,spl_100_100_025,spl_100_100_025_renter.mat,0.145600493528341,0,1,1,0.25,-469076166.45475,-406254994.306289,-469076166.45475,-337520503.209951,83.8791505148754
34,spl_100_100_050,spl_100_100_050_renter.mat,0.145600493528341,0,1,1,0.5,-492217641.150782,-426302919.985708,-492217641.150782,-354290471.854454,81.6787097014675
35,spl_100_100_075,spl_100_100_075_renter.mat,0.145600493528341,0,1,1,0.75,-522279730.706104,-452340681.185218,-522279730.706104,-376056982.887696,79.0059792092194
36,spl_100_100_100,spl_100_100_100_renter.mat,0.145600493528341,0,1,1,1,-562654670.319039,-487300106.076275,-562654670.319039,-405251876.151131,75.7044854657997
37,NO_PENSION (no DC),combined_renter_nodc.mat,0,0,NaN,NaN,NaN,-5362574295.18665,-4666320449.99773,-5362574295.18665,-4424848627.949,0
