housing,age,tau_p10,tau_p50,tau_p90,tau_spread,tau_mean
renter,25,0.962227271998126,0.962227271998126,0.962227271998126,0,0.962227271998066
renter,26,0.770855627657804,0.999999999575518,0.999999999980201,0.229144372322396,0.933845709557038
renter,27,0.767383324996805,0.999999999999318,0.999999999999988,0.232616675003184,0.927210519849151
renter,28,0.822928170556703,0.999999999998797,1,0.177071829443297,0.9464808496112
renter,29,0.878201977446925,0.979291760916594,1,0.121798022553075,0.94791305610018
renter,30,0.843347651288835,0.946123850260685,0.999999999996919,0.156652348708084,0.928080922857029
renter,31,0.778324615908648,0.907090921161864,0.99543669407849,0.217112078169842,0.89272776330194
renter,32,0.742036208575558,0.886111021540651,0.993462199846951,0.251425991271393,0.872076773965551
renter,33,0.721212724577659,0.870376856051341,0.992373395155802,0.271160670578143,0.8602861646925
renter,34,0.719440918221629,0.878082295730088,0.995931189442424,0.276490271220795,0.865129446479655
renter,35,0.719424292775647,0.897239903459378,0.998103293360707,0.278679000585059,0.874187199609652
renter,36,0.709946296879061,0.923001475918808,0.999015974619671,0.28906967774061,0.884625144751832
renter,37,0.717471047083309,0.93540573728335,0.999999999997733,0.282528952914424,0.893503638927939
renter,38,0.733744221292343,0.947555016628218,0.999999999999999,0.266255778707656,0.904083548098625
renter,39,0.763189334317789,0.953865316872126,0.999999999999998,0.236810665682209,0.914484505198703
renter,40,0.772756529328072,0.962658290013736,0.999999999999914,0.227243470671841,0.919586491712341
renter,41,0.76108290574877,0.949632396788794,0.999999999999998,0.238917094251228,0.912250740418801
renter,42,0.731603030858404,0.94683411161256,0.999999999999999,0.268396969141595,0.906344564823894
renter,43,0.674692622182512,0.943694678689133,0.999999999999998,0.325307377817486,0.893997071806754
renter,44,0.630923429509125,0.918019951602584,0.999999999999999,0.369076570490874,0.869506142792125
renter,45,0.585894685044011,0.862024773270115,0.999999999980054,0.414105314936043,0.82507446259882
renter,46,0.528803148124307,0.813440907187691,0.999999999999998,0.471196851875691,0.781191349719349
renter,47,0.499482231090904,0.786888148280025,1,0.500517768909096,0.761173781701436
renter,48,0.474563846159382,0.757255441894064,0.999999999999996,0.525436153840614,0.742765605040305
renter,49,0.442229672843493,0.751264754364771,0.999999999999997,0.557770327156505,0.730648631460083
renter,50,0.42386070424886,0.698577607043764,0.977797047677148,0.553936343428288,0.694410414004023
renter,51,0.404608372698421,0.687879774888776,0.978120027364139,0.573511654665719,0.682737852001744
renter,52,0.383626895072221,0.674137299930192,0.966480360269351,0.58285346519713,0.665253031732273
renter,53,0.363610424307984,0.656312256630295,0.965216636781612,0.601606212473628,0.65140790801382
renter,54,0.342640907558087,0.620849993071196,0.940349411223604,0.597708503665518,0.621722897721139
renter,55,0.321154420820598,0.591073820922123,0.92065027025899,0.599495849438392,0.601259103985723
renter,56,0.309733682478079,0.553213944284539,0.876300946156202,0.566567263678123,0.569087282963733
renter,57,0.295204736811903,0.576651606378699,0.869002005672461,0.573797268860557,0.574776253649551
renter,58,0.290290084591526,0.557418826754,0.852007562327404,0.561717477735878,0.560916886767851
renter,59,0.279990052657395,0.52173720800727,0.779376614567127,0.499386561909732,0.526923212838913
renter,60,0.271672065208072,0.519103920691485,0.768428739949234,0.496756674741162,0.520707345830892
renter,61,0.275385489721332,0.518835181456158,0.761367504433513,0.48598201471218,0.51610400467176
renter,62,0.271175202630683,0.489428604456182,0.706304139100705,0.435128936470022,0.491159516608324
renter,63,0.245960724181828,0.476983004789231,0.686028434879113,0.440067710697284,0.471995354003439
renter,64,0.230694044529216,0.454401157236174,0.659006561759985,0.428312517230769,0.448277288102929
renter,65,0.226818580206764,0.444670963544173,0.656233166855817,0.429414586649053,0.438773579754548
renter,66,0.130008588183892,0.436055886012646,0.728073827309198,0.598065239125307,0.426022307778825
renter,67,0,0,0,0,0
renter,68,0,0,0,0,0
renter,69,0,0,0,0,0
renter,70,0,0,0,0,0
renter,71,0,0,0,0,0
renter,72,0,0,0,0,0
renter,73,0,0,0,0,0
renter,74,0,0,0,0,0
renter,75,0,0,0,0,0
renter,76,0,0,0,0,0
renter,77,0,0,0,0,0
renter,78,0,0,0,0,0
renter,79,0,0,0,0,0
renter,80,0,0,0,0,0
renter,81,0,0,0,0,0
renter,82,0,0,0,0,0
renter,83,0,0,0,0,0
renter,84,0,0,0,0,0
renter,85,0,0,0,0,0
renter,86,0,0,0,0,0
renter,87,0,0,0,0,0
renter,88,0,0,0,0,0
renter,89,0,0,0,0,0
renter,90,0,0,0,0,0
renter,91,0,0,0,0,0
renter,92,0,0,0,0,0
renter,93,0,0,0,0,0
renter,94,0,0,0,0,0
renter,95,0,0,0,0,0
renter,96,0,0,0,0,0
renter,97,0,0,0,0,0
renter,98,0,0,0,0,0
renter,99,0,0,0,0,0
