Row,b_0,b_0_25,b_0_5,b_1,b_2,b_3,b_5,b_10
NO_PENSION (no DC),0,0,0,0,0,0,0,0
FREE_DC (free tau),-14.726861980537,-13.1007539620258,-10.1855334251108,-7.3527747803149,-4.04943690334041,-2.42073385703416,0.0869008455940401,3.22885890083511
spl_000_000_000,-17.4975773540199,-15.9193624598228,-13.0718333656596,-10.1859204476082,-6.90476903528109,-4.9660665804541,-2.29926718734944,1.61835027722148
spl_025_000_000,-17.8844219335464,-16.203915347286,-13.3186464912758,-10.2790082612933,-6.81302380247649,-4.76856673855581,-2.07710207032284,1.81097441165923
spl_025_025_000,-19.1137098487078,-17.3458755583916,-14.4220986846667,-11.1551830563761,-7.30802822090129,-4.96343158911302,-2.05392719137089,2.04142344148026
spl_025_025_025,-19.1315736166697,-17.3642345344114,-14.4418164372048,-11.1769135134541,-7.33378013463176,-4.99219366631599,-2.08874899866759,1.9937443145998
spl_050_000_000,-18.5109552951368,-16.7041334227942,-13.7734000537068,-10.5451018488905,-6.85100239219538,-4.6760197067837,-1.93945669339243,1.95010829566806
spl_050_025_000,-20.400416897741,-18.4588629694882,-15.4831253741791,-11.9156827937383,-7.6947171927784,-5.09599480727062,-2.07260747935464,2.13626526446462
spl_050_025_025,-19.8970689890826,-17.9925049998437,-15.0269359646388,-11.55323386852,-7.46606607903318,-4.98204555576522,-2.02884018329675,2.0778168416111
spl_050_050_000,-22.8932336346006,-20.8830808768934,-17.9670298629988,-14.2274793358231,-9.7887253418646,-6.83480037641321,-3.69050290508731,0.954227575672251
spl_050_050_025,-22.9926702558898,-20.9830142429709,-18.0722456266345,-14.3353881371865,-9.90270087687893,-6.94701130972074,-3.80972432973815,0.833974796592107
spl_050_050_050,-23.0997034857368,-21.0908062585353,-18.1858949016842,-14.4529100395936,-10.027643729789,-7.07241261811602,-3.94314325503559,0.697243477595033
spl_075_000_000,-19.4102855642637,-17.4460541547761,-14.4648235213086,-10.9991797857656,-7.02604931890511,-4.6814221047409,-1.88285928567884,2.04690699021408
spl_075_025_000,-21.6661282751437,-19.5515792315456,-16.5427181722312,-12.6923728930969,-8.15685101811857,-5.31507146673819,-2.21315870872584,2.12239888488635
spl_075_025_025,-20.9481667572933,-18.8786023796012,-15.8722414499679,-12.1400359675605,-7.76498410519519,-5.08382843354617,-2.0692479805149,2.11002072789539
spl_075_050_000,-24.8097989856181,-22.5853377193868,-19.6516992431354,-15.507390114252,-10.6319228831068,-7.27567259026479,-4.02292287942163,0.861624040588516
spl_075_050_025,-24.5426495286089,-22.3426582891021,-19.4120219560393,-15.3343057545049,-10.5375128725181,-7.2602656826436,-4.03862747484712,0.78694268544286
spl_075_050_050,-24.1506667326617,-21.9854145549807,-19.0594621573489,-15.0781635182852,-10.399103408029,-7.242306805794,-4.07266787731352,0.658001176861567
spl_075_075_000,-27.6121577590528,-25.3584582498352,-22.5444617875338,-18.3135104832876,-13.35945533555,-9.695103027576,-6.40734971331626,-1.07188599122207
spl_075_075_025,-27.7059098427112,-25.4534159511196,-22.6449147719477,-18.418496797305,-13.4720652027146,-9.81044948066071,-6.53043168109088,-1.20013325556734
spl_075_075_050,-27.8828108138129,-25.6314066771006,-22.8323465605659,-18.6098051496662,-13.6708409236651,-10.0037733047669,-6.73032712643139,-1.38779044704428
spl_075_075_075,-27.9655264504552,-25.7157003399494,-22.9218528099468,-18.7054183973817,-13.7758640856046,-10.11624789255,-6.85224252092966,-1.52238256938813
spl_100_000_000,-20.5703036627806,-18.4273660085479,-15.4050769375451,-11.6619444839038,-7.37235289975309,-4.80712824062869,-1.93520292364624,2.08168801796251
spl_100_025_000,-23.0088874068553,-20.7196575799588,-17.6989996547376,-13.5646250312267,-8.72853744552007,-5.62181393082647,-2.45531045602073,2.02732001495789
spl_100_025_025,-22.2092325844097,-19.9640967490567,-16.9361263896425,-12.9238744480116,-8.24674648974529,-5.31966785992061,-2.23932051704591,2.06265255359364
spl_100_050_000,-26.3534444781815,-23.960634217624,-21.0386681849824,-16.5897270600954,-11.3952965887681,-7.71185722844621,-4.39238977704376,0.690949463376178
spl_100_050_025,-25.9178006784747,-23.5515515175109,-20.6245110458216,-16.2582451077739,-11.1617331749327,-7.59296046830985,-4.31288067546057,0.676289330786539
spl_100_050_050,-25.3853156579894,-23.0570383073181,-20.128082827447,-15.8796782786834,-10.9274142330404,-7.52066887383952,-4.30565521216886,0.552407668757393
spl_100_075_000,-29.9690858904677,-27.5209263507592,-24.7446894831741,-20.0786564014604,-14.6564464940998,-10.4700798391688,-7.08039671855537,-1.39870868618748
spl_100_075_025,-29.858902229331,-27.4152879385074,-24.6363741477846,-19.9874084292167,-14.5870779441325,-10.4336374541144,-7.05841552490318,-1.4239272006894
spl_100_075_050,-29.6082019825198,-27.1860106047778,-24.4061616709534,-19.8247331477562,-14.5028176139824,-10.4363804433315,-7.08691506859657,-1.51303467811715
spl_100_075_075,-29.1983903013582,-26.8079101473875,-24.0250407521238,-19.5472454702234,-14.347508846584,-10.4255307221375,-7.12081648207457,-1.65114764111638
spl_100_100_000,-31.8819498765011,-29.4304710364691,-26.7474308918944,-22.036923393009,-16.5804211350438,-12.2225549880539,-8.85003840041818,-2.94855784636101
spl_100_100_025,-31.9364932939717,-29.4863385240664,-26.8067702313263,-22.1000192267586,-16.649661195028,-12.2955448744088,-8.9294455446595,-3.03551497629081
spl_100_100_050,-32.0403343835861,-29.5917474393108,-26.9182088549254,-22.2148212549548,-16.7707097332733,-12.414570412281,-9.05476495155718,-3.15724099031196
spl_100_100_075,-32.0781586128447,-29.6308946462042,-26.9600546438645,-22.2609933760487,-16.8236211626637,-12.4742102621488,-9.12154889832313,-3.23749105240704
spl_100_100_100,-32.143250196728,-29.6974383365406,-27.0306923990845,-22.3356416906895,-16.9049954587626,-12.5588165827325,-9.21320843258533,-3.33604958110857
