Row,b_0,b_0_25,b_0_5,b_1,b_2,b_3,b_5,b_10
NO_PENSION (no DC),0,0,0,0,0,0,0,0
FREE_DC (free tau),197.155622600263,203.518774390195,209.648567232485,197.563586992275,174.297364636898,129.109736196043,119.000766389356,66.2325988281512
spl_000_000_000,173.333951688834,179.19960804521,185.082027881795,174.24857406462,154.077715620174,113.858365882437,106.277499680903,60.2965861136651
spl_025_000_000,172.242754913708,178.536748026443,184.521604122567,174.62090393077,155.293009830272,115.226436485077,107.507832991661,60.9800850021333
spl_025_025_000,146.454947964617,153.509845139896,159.257061226615,154.005151521824,141.030784881284,107.803926783708,101.500651647207,58.9975292943269
spl_025_025_025,145.127168821083,152.147096515229,157.84567472718,152.63474396796,139.729115272941,106.763106477648,100.47221784564,58.2654692768543
spl_050_000_000,170.482373242379,177.258101322313,183.319487562911,174.489536665604,156.134795216553,116.335736365134,108.485153216146,61.5206455333913
spl_050_025_000,144.050104551578,151.622863281965,157.345847163091,153.442655036309,141.74201695473,109.117035936574,102.642637960603,59.7505694846199
spl_050_025_025,144.179838406694,151.563846248058,157.250261759581,152.834251025603,140.567099935515,107.727935792646,101.244216270211,58.638702410084
spl_050_050_000,120.95323596309,128.394637927707,133.400396981667,131.678078400575,123.228806440397,96.5934646688045,90.8952563246896,53.2947044127071
spl_050_050_025,119.333853678917,126.71602790449,131.660257851363,129.943263060966,121.526465402974,95.2048118204609,89.5162768472562,52.3195814905106
spl_050_050_050,117.268228613372,124.576655707173,129.444022994909,127.739906863876,119.37201255047,93.4630654863118,87.791000944468,51.1176887252743
spl_075_000_000,168.11733780172,175.374049162604,181.463570523819,173.794525906694,156.524153484234,117.144976489436,109.184304678947,61.9226668223121
spl_075_025_000,141.910955009725,149.822615446049,155.449151893129,152.492586945684,141.677363099696,109.561963872384,102.935628612421,59.9415728117635
spl_075_025_025,142.664085683546,150.382889858208,156.003108585742,152.419984641232,140.879248321539,108.331435425729,101.671589715225,58.83675947754
spl_075_050_000,119.008320580408,126.716723785384,131.556105454936,130.662224766889,122.9033357941,96.8694699084025,90.9031438030422,53.3059323958496
spl_075_050_025,118.132732838366,125.754798929404,130.567264942296,129.527844782713,121.64858216711,95.7075696421221,89.7775709159889,52.4695327359899
spl_075_050_050,116.551137495888,124.033734110487,128.800004253002,127.534690115498,119.471953623438,93.7045294959167,87.8373019555376,51.0440757093404
spl_075_075_000,102.910036441798,110.122969031958,114.365940745623,113.897061654881,107.001410652655,84.6647726580143,79.0183827815356,45.7819899480982
spl_075_075_025,101.242832589454,108.384548494425,112.565460178319,112.079150315443,105.191284760821,83.170262251703,77.5429275400736,44.756316245641
spl_075_075_050,99.1598711827422,106.214712750235,110.319119797801,109.818702665049,102.953537487041,81.3371078679833,75.740544267456,43.5254789639195
spl_075_075_075,96.6164842542111,103.567798005889,107.580153232152,107.072042412195,100.250188394838,79.1416391822579,73.5903971422138,42.0852168436557
spl_100_000_000,164.865593641261,172.58036995081,178.63286581675,172.22790561079,156.194798321923,117.485875998889,109.452567138403,62.1137087835963
spl_100_025_000,139.332879240245,147.496698440021,152.978293995988,150.8790703196,140.907236356183,109.442812141274,102.693227617192,59.819672893122
spl_100_025_025,140.468008216725,148.46435670704,153.964295447549,151.226405052621,140.486755214885,108.447475652863,101.646150799468,58.8010419943968
spl_100_050_000,116.841812063705,124.698643366336,129.385736834689,129.089955178505,121.941100413417,96.4942501856916,90.4107665543081,53.0243986972148
spl_100_050_025,116.496188640742,124.269834796115,128.947232851166,128.444930961463,121.075950706626,95.5664022702518,89.5011749331232,52.2872782533918
spl_100_050_050,115.196431790584,122.821834942401,127.461226172747,126.658526705562,119.008746080185,93.5587370506972,87.5393283614901,50.7920225010099
spl_100_075_000,99.5961504639052,106.952205112457,111.000858022147,111.265656704,105.198437242534,83.7525805109758,78.0420149002868,45.2780348343943
spl_100_075_025,98.2768328853485,105.560637303939,109.559674330784,109.765101767213,103.647861790899,82.4221480268675,76.726176063605,44.3392051822604
spl_100_075_050,97.0822227351524,104.267318855286,108.222913588192,108.283101382632,102.018764237226,80.9582670421812,75.2832997099232,43.2964084954828
spl_100_075_075,95.2131854808389,102.252377595904,106.143833620404,105.997736564167,99.5334293108405,78.7373775052639,73.1040290487216,41.7466255206015
spl_100_100_000,85.9221545265551,92.719687526154,96.2657985251372,96.5207891133908,90.7430269065713,72.1142415303333,66.7157282851403,37.880732493554
spl_100_100_025,84.09583439994,90.8094615079666,94.2921214164192,94.5177147785398,88.7490190049936,70.4665696131473,65.1173440512685,36.8165860939269
spl_100_100_050,81.8921946745941,88.5068391948142,91.9145353224837,92.1128626759678,86.3683284535699,68.512506150115,63.228720157204,35.5795701198862
spl_100_100_075,79.216184924172,85.7130600270679,89.031464663978,89.2065430190587,83.5115088156443,66.1843808636803,60.9891742876138,34.1406912833921
spl_100_100_100,75.9116140638459,82.2672967296724,85.4786251908511,85.6395903379601,80.029779414959,63.3675936594403,58.2938437640846,32.4459719510106
